Vehicle Number,Blacklist Flag,No. of Fines,Color,Fitness Upto,Insurance Upto,Insurance Comp,Maker,Rc Status,Registration Date,RTO,Year of Purchase,Type of Car,Pollution Cert Validity
TS 38 PU 8443,no,0,Yellow,04-05-2028,03-04-2032,ICICI LOMBARD,Honda,DEACTIVE,30-08-2022,TS,2005,personal,27-08-2024
GA 81 JU 4986,no,0,White,19-01-2028,24-04-2032,United India Insurance,HERO MOTOCORP LTD,DEACTIVE,02-09-2015,GA,2016,personal,22-10-2026
MH 72 JD 7057,yes,10,Silver,28-08-2030,04-03-2027,ICICI LOMBARD,Hyundai,ACTIVE,22-07-2012,MH,2016,commercial,09-05-2031
BR 87 WY 6809,no,0,Yellow,25-02-2032,31-07-2031,Tata AIG,HERO MOTOCORP LTD,DEACTIVE,11-05-2020,BR,2008,personal,27-07-2025
PB 39 TW 6890,yes,4,White,09-12-2031,06-03-2029,Tata AIG,HERO MOTOCORP LTD,ACTIVE,28-09-2022,PB,2004,commercial,04-07-2033
HP 69 QW 6503,no,0,Yellow,15-02-2033,06-07-2031,Bajaj Allianz,Hyundai,DEACTIVE,04-11-2022,HP,2019,personal,28-01-2027
AP 34 AI 7980,no,0,Yellow,11-01-2030,29-01-2032,SBI General,Maruti Suzuki,ACTIVE,23-02-2010,AP,2005,personal,12-10-2030
CG 40 AZ 1179,yes,8,Yellow,04-01-2025,27-01-2027,HDFC ERGO,Maruti Suzuki,DEACTIVE,12-06-2012,CG,2017,personal,05-10-2024
PB 63 RY 1640,yes,5,White,17-04-2033,01-03-2029,ICICI LOMBARD,Maruti Suzuki,ACTIVE,11-10-2011,PB,2014,personal,31-10-2028
TR 40 BW 1957,yes,10,Green,31-05-2031,01-09-2025,HDFC ERGO,Tata Motors,ACTIVE,05-08-2018,TR,2001,personal,01-09-2032
CG 49 SL 8455,yes,6,Red,22-01-2032,21-09-2032,ICICI LOMBARD,Hyundai,DEACTIVE,27-09-2014,CG,2005,personal,21-05-2025
KL 80 YU 9273,no,0,Green,17-10-2029,27-03-2025,New India Assurance,Hyundai,ACTIVE,26-06-2014,KL,2003,personal,29-12-2028
GJ 50 BE 5857,yes,5,Green,17-10-2025,01-08-2023,Tata AIG,Tata Motors,DEACTIVE,19-09-2015,GJ,2018,personal,13-12-2026
JH 78 TA 7573,yes,9,Black,24-04-2028,29-09-2028,Tata AIG,Maruti Suzuki,DEACTIVE,08-01-2014,JH,2003,commercial,29-09-2032
ML 68 PI 6056,no,0,White,13-07-2033,05-05-2030,Tata AIG,Hyundai,ACTIVE,06-07-2021,ML,2005,personal,08-07-2031
KA 65 VV 9908,no,0,Green,09-12-2023,21-08-2029,Reliance General,Tata Motors,ACTIVE,22-02-2010,KA,2016,personal,23-02-2028
AR 51 AA 7414,no,0,Red,28-04-2026,11-05-2032,Oriental Insurance,HERO MOTOCORP LTD,ACTIVE,20-04-2021,AR,2013,commercial,28-12-2025
MZ 59 BX 4216,no,0,Blue,22-08-2031,01-12-2030,Oriental Insurance,Tata Motors,DEACTIVE,07-04-2018,MZ,2001,personal,30-03-2029
TR 58 VR 8823,no,0,Red,26-08-2030,20-05-2031,HDFC ERGO,Toyota,ACTIVE,10-03-2012,TR,2001,personal,08-05-2032
