NI51KSU,yes,10,Green,2029-06-16,2025-09-16,Oriental Insurance,HERO MOTOCORP LTD,ACTIVE,2015-12-17,AS,2005,personal,2027-10-18
HA13NRU,yes,4,Black,2030-02-26,2023-09-04,SBI General,Honda,ACTIVE,2013-02-07,CN,2003,personal,2023-08-13
NY51KSU,yes,6,Silver,2027-02-12,2028-04-27,SBI General,Maruti Suzuki,DEACTIVE,2010-01-20,HF,2012,commercial,2031-03-18
NY51VSU,no,0,Blue,2031-01-20,2024-07-23,SBI General,Honda,ACTIVE,2021-05-02,RC,2018,personal,2025-09-02
JN41JNR,no,0,Green,2029-04-19,2029-02-26,Future Generali,Tata Motors,ACTIVE,2022-09-05,WS,2008,personal,2024-09-19
HU51VSV,no,0,Yellow,2031-11-12,2026-01-13,Bajaj Allianz,Maruti Suzuki,ACTIVE,2016-06-10,UH,2005,commercial,2026-11-26
NU51ISU,yes,5,Green,2026-01-25,2032-12-21,Tata AIG,Hyundai,ACTIVE,2021-02-17,AJ,2014,personal,2027-01-07
JH43HPU,no,0,Silver,2030-12-10,2027-07-11,New India Assurance,Maruti Suzuki,DEACTIVE,2020-11-06,UT,2009,personal,2025-10-23
MU51FSU,yes,6,Green,2028-02-26,2033-06-28,ICICI LOMBARD,Honda,ACTIVE,2014-09-30,DI,2023,commercial,2029-12-02
JN43NRU,no,0,Black,2026-01-15,2025-10-03,ICICI LOMBARD,Toyota,ACTIVE,2023-04-09,FE,2013,personal,2032-11-13
NU51RSU,yes,2,Yellow,2025-06-16,2028-12-24,Future Generali,HERO MOTOCORP LTD,DEACTIVE,2016-01-07,RM,2004,commercial,2025-02-05
KU51DSU,yes,3,Black,2033-07-27,2023-08-20,New India Assurance,Hyundai,ACTIVE,2016-08-29,ZY,2012,commercial,2025-03-17
KU51KSV,no,0,White,2024-01-04,2024-08-18,Oriental Insurance,Honda,ACTIVE,2023-06-12,NS,2004,personal,2032-02-08
MI51GSV,yes,8,Blue,2027-06-18,2027-05-25,United India Insurance,Hyundai,ACTIVE,2019-03-29,ZH,2015,personal,2028-01-25
NU51ESV,yes,4,Green,2032-04-13,2030-03-30,Bajaj Allianz,HERO MOTOCORP LTD,ACTIVE,2011-02-19,CK,2005,personal,2029-12-08
GX15OCA,no,0,Black,2026-05-15,2024-12-04,New India Assurance,HERO MOTOCORP LTD,ACTIVE,2015-06-30,UQ,2017,personal,2029-09-15
