frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,5.0,[2197.398996734198 1154.2834506734766 2785.5585086050983 1736.5472180635898],[2407.91455078125 1551.3717041015625 2576.935546875 1638.369873046875],0.5950813293457031,HU51KSU,0.08372624089802345
9,3.0,[737.198520027961 1396.0503641025662 1425.608286557016 2026.1469509109324],[939.8256225585938 1790.5682373046875 1188.2000732421875 1892.2584228515625],0.38696062564849854,NA13NPU,0.257833452447837
10,5.0,[2188.893643561466 1177.7803740994143 2792.9925122308705 1768.6962211889556],[2409.128173828125 1583.3270263671875 2586.089599609375 1661.169921875],0.5489416718482971,NI51KSU,0.19588224102921312
14,3.0,[725.9480767672001 1407.0737980383867 1423.1740294218891 2052.190671540121],[938.2769165039062 1806.962158203125 1184.4786376953125 1911.0667724609375],0.5639620423316956,HA13NRU,0.11581247513061536
24,5.0,[2194.2257952674545 1198.0231585868728 2813.672587922041 1810.2383474791673],[2424.47265625 1619.255859375 2596.346435546875 1701.387451171875],0.5833198428153992,NY51KSU,0.09454805921307909
25,5.0,[2194.873650925413 1200.5306247298795 2813.5873402247526 1811.6362344903164],[2424.463134765625 1619.4510498046875 2596.030029296875 1701.2962646484375],0.5803430676460266,NY51VSU,0.22163252423606888
28,3.0,[690.1605512098456 1449.4964209241384 1402.6987932140703 2104.30501317198],[917.0337524414062 1876.529296875 1114.3304443359375 1964.05810546875],0.44663941860198975,JN41JNR,0.14700418530184697
30,3.0,[685.165563208969 1458.6508469311568 1400.2205332505391 2112.9502708673554],[923.3988647460938 1880.4019775390625 1158.55712890625 1982.7396240234375],0.5684546828269958,NA13NRU,0.2547121578038173
31,3.0,[683.8938449763516 1460.4443116843947 1399.947188353214 2114.081187942981],[923.356201171875 1880.5079345703125 1158.5130615234375 1982.720703125],0.5675423741340637,NA13NRU,0.2547121578038173
34,5.0,[2201.105777286315 1228.4037488184747 2821.613513487956 1845.556150325878],[2431.63330078125 1642.393798828125 2614.3193359375 1736.89892578125],0.6512928009033203,HU51VSV,0.0664822912227907
35,3.0,[674.2249749468094 1475.423133919275 1395.8610266978656 2129.466683239514],[912.9990234375 1892.7828369140625 1157.5447998046875 1994.5220947265625],0.5773801207542419,NA13NRU,0.3533946218413386
37,3.0,[670.8262065474569 1483.0550347342742 1391.7801600820917 2135.1641989041577],[903.099609375 1902.1248779296875 1156.3721923828125 2005.6160888671875],0.5602675676345825,NA13NRU,0.6331903305561786
39,5.0,[2203.704101853929 1252.314997508771 2838.1453101265965 1864.6115929665655],[2432.939453125 1663.7127685546875 2617.570556640625 1750.3857421875],0.5952930450439453,NI51VSU,0.15683719286037656
40,3.0,[668.4866784408254 1496.8439082972639 1393.350245541189 2146.5422522009935],[900.3173217773438 1923.8775634765625 1133.605712890625 2019.758544921875],0.6199135184288025,NA13NRU,0.29496505137204826
44,5.0,[2207.081066909489 1251.9978123542496 2853.267054206124 1876.896061825697],[2434.406494140625 1685.257080078125 2612.552734375 1767.9822998046875],0.6663975119590759,NI51VSU,0.22660399513347992
44,3.0,[656.5110790930734 1511.9778753259661 1384.8638680819777 2151.1812267170367],[877.4298706054688 1923.5225830078125 1135.0654296875 2037.6068115234375],0.6376195549964905,NA13NRU,0.1994726700761211
45,5.0,[2206.3989937945726 1254.2632689060306 2853.2358063834263 1879.0222351048365],[2440.111328125 1687.38134765625 2616.057373046875 1768.365234375],0.6680002212524414,NV51VSV,0.31271271314334914
45,3.0,[654.8167719451537 1515.5609339392277 1384.7247703699147 2153.0972129207976],[895.3402099609375 1934.03515625 1150.44580078125 2043.9544677734375],0.6197764277458191,NA13NRU,0.2147339541132179
46,3.0,[652.658161509559 1517.9004928729116 1382.9836627516092 2152.606179630561],[904.351318359375 1940.736328125 1140.9927978515625 2045.44482421875],0.6530437469482422,NA13NRU,0.35010043799740803
47,3.0,[650.7496848005978 1518.8215716890359 1382.4609924159602 2151.172026921919],[882.091796875 1945.1195068359375 1147.53466796875 2060.543212890625],0.6287837624549866,NA13NRU,0.283393505707963
51,3.0,[648.4604798868812 1532.1952605619124 1380.5400465312932 2152.7470174599243],[871.4727172851562 1970.402099609375 1129.554931640625 2073.380615234375],0.6438189148902893,NA13NRU,0.3979352773832703
52,5.0,[2206.0904366660134 1267.1504127710339 2854.9893003036577 1906.2722745366648],[2438.49169921875 1709.8106689453125 2623.5380859375 1794.021240234375],0.6543492674827576,NU51ISU,0.04178453768966384
54,3.0,[639.6811805004623 1544.0459462781264 1379.875436258741 2152.5054121762473],[860.2695922851562 1977.109130859375 1127.8582763671875 2091.520751953125],0.6704825162887573,NA13NPU,0.20130577529087915
55,3.0,[637.6314677092212 1546.4415608072736 1380.5108491387698 2151.7382324110613],[860.32421875 1977.1964111328125 1127.7088623046875 2091.40283203125],0.66972815990448,NA13NPU,0.20130577529087915
57,3.0,[627.5518852693406 1553.794212188723 1372.5188246141502 2152.081212855977],[864.1246948242188 1987.491943359375 1127.8089599609375 2102.220703125],0.6745096445083618,JH43HPU,0.1091763491864267
58,3.0,[629.9808938465421 1558.2746766603857 1372.9729269826894 2152.4954757982723],[862.6882934570312 1996.0975341796875 1119.6502685546875 2105.647216796875],0.6561891436576843,NA13NRU,0.2886727281030368
60,3.0,[632.83446165389 1565.516650053302 1372.9209190256258 2152.356577780885],[885.5487670898438 2017.80029296875 1094.9659423828125 2118.114501953125],0.6714749932289124,NA13NRU,0.17322005079356328
61,3.0,[633.550256769827 1566.9399768918786 1372.175000212726 2151.5053426841873],[885.2470703125 2017.694580078125 1095.1405029296875 2118.353515625],0.6713845729827881,NA13NRU,0.19326381090131958
61,5.0,[2211.4785331769044 1288.4348107722744 2863.6468576641228 1944.6792055618462],[2449.061279296875 1735.9141845703125 2635.234375 1821.8067626953125],0.666466474533081,MU51FSU,0.2595077225599072
62,3.0,[636.7433673515724 1570.5057479629718 1373.5140951448557 2151.681420923552],[881.0443725585938 2021.8623046875 1119.259765625 2124.484130859375],0.7097133994102478,JN43NRU,0.3534975583667019
63,5.0,[2211.5209454021833 1292.3015730113332 2864.9874637502617 1952.0329265502012],[2447.35986328125 1744.4981689453125 2633.347412109375 1833.9173583984375],0.6578534245491028,NU51RSU,0.08527857267986826
64,5.0,[2214.09951484763 1297.5409102659278 2868.3839695928723 1956.960353256074],[2446.23291015625 1748.445556640625 2636.76806640625 1840.181396484375],0.6658601760864258,MU51KSU,0.15092757480463817
65,3.0,[624.152748559125 1586.468131748095 1364.5601020573743 2151.5652505583666],[844.179443359375 2030.8436279296875 1109.359130859375 2138.856689453125],0.6438282132148743,NA13NRU,0.2233108401051839
69,5.0,[2215.9744842144664 1315.269498253493 2872.8162642239604 1972.0758241979806],[2455.583740234375 1768.78271484375 2636.742431640625 1850.876953125],0.610943078994751,MU51KSU,0.08511625925875485
74,5.0,[2215.201602887025 1325.268642345165 2871.6760630467243 1994.813910916056],[2459.91455078125 1784.7802734375 2643.220703125 1870.6318359375],0.6856756806373596,KU51DSU,0.12817096204540115
83,5.0,[2217.5957573115647 1361.4276037501782 2890.7802468428827 2033.6625218359113],[2464.998046875 1822.59814453125 2661.964599609375 1906.292724609375],0.6558358073234558,KU51KSV,0.3317035099189965
89,5.0,[2220.9290889220492 1372.7698155212029 2907.932340123096 2057.6471847321204],[2470.379150390625 1839.48388671875 2668.3388671875 1935.5150146484375],0.6661281585693359,MI51GSV,0.03190481962973502
112,6.0,[1091.595631197417 1190.149747446554 1704.9525950705731 1678.1317084448237],[1319.4647216796875 1493.349609375 1482.8541259765625 1567.382080078125],0.37535563111305237,GX15OGJ,0.3006122504881083
118,6.0,[1088.772880864482 1205.7679585579403 1713.1156423146267 1690.4722695551013],[1296.5113525390625 1499.309814453125 1469.443115234375 1579.3148193359375],0.3953951299190521,GX15OGJ,0.18764555555077223
123,6.0,[1082.0139957772494 1216.5221075236193 1706.3803355319383 1702.6154378838335],[1311.3673095703125 1511.578125 1484.187744140625 1600.36083984375],0.4280661344528198,GX15OGJ,0.1846351968862566
126,6.0,[1077.7625954864825 1227.5114418691749 1695.934004188361 1712.407392480405],[1296.505859375 1510.291259765625 1465.035400390625 1599.2010498046875],0.344426691532135,GX15OGJ,0.1328624544799718
127,6.0,[1078.6816366670098 1229.4090502193105 1694.8051524522527 1713.5867629162756],[1296.45703125 1510.139404296875 1465.2890625 1599.376953125],0.342021107673645,GX15OGJ,0.1328624544799718
128,6.0,[1078.437532435558 1231.540978498182 1695.923059395888 1715.7538006439968],[1307.4862060546875 1527.5086669921875 1476.8309326171875 1607.1412353515625],0.28505584597587585,GX15OGJ,0.1730019378647909
131,6.0,[1073.9864035147739 1237.0070149355838 1692.0389264599758 1721.2108894090989],[1299.641357421875 1537.95263671875 1472.0128173828125 1617.3094482421875],0.39819973707199097,GX15OGJ,0.35557731553550626
132,5.0,[2253.86686881326 1502.3592016237546 2969.434839446837 2146.8695489874717],[2516.73046875 2018.0655517578125 2722.467041015625 2113.657958984375],0.7064692974090576,NW51TSV,0.1452515568053237
133,5.0,[2254.06894701344 1503.0182208215542 2968.9703994070574 2146.7048006204927],[2516.74365234375 2018.0771484375 2722.443603515625 2113.629638671875],0.7065111398696899,NW51TSV,0.1452515568053237
134,5.0,[2259.119448376932 1505.8703875202687 2973.098538750481 2147.009106323384],[2515.487060546875 2026.7900390625 2725.62255859375 2124.932373046875],0.7054385542869568,NV51VSV,0.24850742208529703
140,5.0,[2267.6766994523978 1530.961711316771 2983.373023169065 2149.032293710929],[2528.582763671875 2056.5947265625 2734.1572265625 2145.222900390625],0.6953490376472473,NU51ESV,0.029955263730846275
146,6.0,[1051.154509888494 1265.5200890695662 1682.198707259044 1766.0243852484534],[1284.102294921875 1573.4901123046875 1466.8448486328125 1657.042236328125],0.48426753282546997,GX15OGJ,0.5405921503984642
177,6.0,[994.888627983572 1336.484307338581 1687.6399981603035 1876.2137678938134],[1234.898681640625 1676.9033203125 1436.2576904296875 1761.6888427734375],0.5593855977058411,GX15OGJ,0.5463076645203653
179,6.0,[995.0200379326366 1341.9747446237332 1687.7935704720553 1880.4810452682652],[1231.230224609375 1688.798583984375 1429.742919921875 1766.6923828125],0.5962445735931396,GX15OGJ,0.4431609189376919
180,6.0,[996.4237379660585 1344.8718649186267 1688.2156101620562 1883.3294141052015],[1229.120849609375 1686.3336181640625 1428.0784912109375 1772.7418212890625],0.5686656832695007,GX15OGJ,0.30342821148718363
181,6.0,[995.76721303569 1349.5089097398718 1688.2517123008552 1889.1987447739803],[1229.3790283203125 1685.0196533203125 1428.9508056640625 1772.4052734375],0.5596325397491455,GX15OGJ,0.3145593004200613
185,6.0,[983.8319498648472 1362.9832185665432 1686.7966712218185 1902.528839046507],[1232.4532470703125 1702.64794921875 1430.941650390625 1795.3956298828125],0.5412964224815369,GX15OGJ,0.13073036284348624
186,6.0,[978.609358685401 1365.387241386806 1686.1367196220206 1904.6013689852941],[1226.7318115234375 1702.0411376953125 1435.6434326171875 1794.7767333984375],0.49531280994415283,GX15OGJ,0.1262836126011508
187,6.0,[975.7748967629389 1366.2718519265723 1686.644165923992 1905.2424031012138],[1226.671142578125 1702.0426025390625 1435.7911376953125 1794.8807373046875],0.4973303973674774,GX15OGJ,0.1262836126011508
188,6.0,[975.0212185781495 1367.2583134110564 1688.5305478565467 1907.128386150599],[1243.1224365234375 1714.609130859375 1436.074951171875 1802.0244140625],0.3301302492618561,GX15OGJ,0.27175344215387964
192,6.0,[966.8168621784498 1379.7118996411941 1682.3926441020417 1929.8032764006562],[1217.03173828125 1726.92333984375 1433.953857421875 1813.361572265625],0.54300457239151,GX15OCJ,0.2165516367623649
193,6.0,[966.2817785432287 1380.9170065254373 1682.0231729107288 1932.621799024523],[1217.108642578125 1727.1002197265625 1433.798583984375 1813.1656494140625],0.5422465801239014,GX15OGJ,0.37913722918596554
194,6.0,[964.6579368642035 1381.8935665131517 1681.6028674138954 1936.0527342925748],[1214.1148681640625 1732.4854736328125 1425.2354736328125 1814.098876953125],0.5923842191696167,GX15OCJ,0.5774965304506006
195,6.0,[964.6306242383982 1387.3329894525211 1681.3856725411435 1942.5097752982936],[1219.962890625 1739.176025390625 1416.7342529296875 1821.655517578125],0.5887998342514038,GX15OCJ,0.3413034571450856
206,6.0,[946.5976312985028 1425.582305228532 1673.2474103040802 1988.631575191059],[1217.3909912109375 1785.8594970703125 1411.294189453125 1856.3345947265625],0.3967466950416565,GX15OCA,0.12105241243865544
207,1.0,[2054.3836015829515 1103.6807802556737 2561.4647437921717 1548.8338499996898],[2229.390380859375 1373.7723388671875 2429.443359375 1464.5621337890625],0.36126914620399475,AP05JEO,0.1349331374463008
208,1.0,[2052.584909702459 1106.4588188726052 2560.6325544953447 1550.679500351408],[2223.8671875 1369.86083984375 2429.86669921875 1464.494140625],0.4209077060222626,AP05JEO,0.26915605169619483
213,6.0,[944.573626473481 1447.6614883507789 1670.6271947379196 2014.69524552062],[1181.103759765625 1794.3721923828125 1381.22412109375 1884.89990234375],0.5385695695877075,GX15OGJ,0.319031077658892
220,1.0,[2056.5167569186315 1126.7030582088553 2564.992205512146 1574.787040947209],[2222.854248046875 1399.9959716796875 2425.215087890625 1485.6365966796875],0.42020827531814575,IP05JEO,0.16084765287451966
224,6.0,[927.6830368014853 1482.52653339458 1660.108275400834 2065.2558377379887],[1160.163330078125 1840.165283203125 1383.722900390625 1935.664306640625],0.5756284594535828,GX15OCJ,0.2379132656888716
